"182,165,111"	"142,172,72"
"177,160,106"	"140,170,70"
"118,128,32"	"220,234,146"
"116,126,30"	"220,234,146"
"114,124,28"	"221,235,147"
"175,182,78"	"133,156,76"
"175,184,79"	"128,151,71"
"177,186,79"	"140,163,83"
"135,147,49"	"114,146,71"
"141,153,55"	"114,146,71"
"141,153,55"	"115,145,71"
"169,153,101"	"114,135,56"
"171,155,103"	"113,134,55"
"167,154,101"	"115,136,57"
"172,193,116"	"225,213,161"
"171,192,115"	"220,210,157"
"171,192,113"	"216,209,155"
"140,163,85"	"158,184,74"
"137,160,82"	"160,186,76"
"136,161,80"	"161,188,75"
"127,151,75"	"218,234,145"
"127,151,75"	"219,235,146"
"123,147,71"	"220,236,148"
"167,176,71"	"230,240,154"
"164,173,68"	"227,237,151"
"166,174,71"	"218,228,142"
"154,178,100"	"199,224,133"
"153,180,101"	"187,212,121"
"155,182,103"	"155,180,89"
"144,159,76"	"183,198,105"
"139,154,71"	"153,168,75"
"134,149,66"	"155,170,77"
"118,128,41"	"99,126,45"
"118,128,41"	"96,121,40"
"117,127,40"	"89,114,33"
"129,122,54"	"144,158,61"
"127,120,52"	"145,159,62"
"123,116,48"	"145,159,62"
"126,139,69"	"115,142,61"
"122,135,65"	"115,142,61"
"123,136,66"	"115,142,61"
"163,169,97"	"123,151,51"
"164,170,98"	"128,156,56"
"167,173,101"	"138,165,68"
"173,187,108"	"164,189,98"
"172,186,107"	"162,187,96"
"169,183,104"	"160,185,94"
"239,217,176"	"133,158,74"
"242,220,181"	"131,156,72"
"244,222,183"	"131,156,72"
"194,153,99"	"113,125,23"
"185,144,90"	"117,132,29"
"178,137,83"	"151,166,65"
"160,173,103"	"168,181,109"
"162,175,105"	"164,177,105"
"159,172,102"	"169,183,108"
"160,175,94"	"252,255,175"
"161,174,94"	"246,255,171"
"155,168,88"	"241,254,166"
"165,160,68"	"170,194,120"
"169,164,72"	"165,189,115"
"174,169,78"	"131,155,81"
"123,141,59"	
"123,141,59"	
"122,140,58"	
"163,178,75"	
"163,178,73"	
"162,177,72"	
"168,180,118"	
"169,179,118"	
"191,199,140"	
